PRP$,VBG,VBD,VB,",",'',VBP,VBN,JJ,WP,VBZ,DT,#,RP,$,NN,POS,.,TO,PRP,RB,:,NNS,NNP,``,WRB,CC,PDT,RBS,RBR,CD,-NONE-,EX,IN,WP$,MD,NNPS,JJS,JJR,WDT
0,0,0,2,1,1,1,0,2,0,0,3,0,0,0,7,0,2,2,1,0,1,2,2,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0
1,0,0,6,0,1,1,0,2,0,1,1,0,0,0,6,1,3,3,2,1,1,3,6,0,1,1,0,0,0,1,0,0,4,0,2,0,0,0,1
0,1,0,1,1,1,0,0,1,1,1,4,0,0,0,5,0,3,2,0,0,0,1,12,0,0,1,0,0,0,0,1,0,9,0,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,3,2,1,2,1,1,0,1,3,0,0,0,9,1,3,2,4,0,4,1,4,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0
1,3,0,1,3,1,3,2,2,0,2,5,1,1,0,5,0,6,0,6,1,1,1,10,0,0,1,0,0,0,1,0,0,8,0,1,0,0,0,0
2,1,1,1,1,1,1,3,0,0,2,3,0,0,0,5,0,2,1,3,1,0,3,4,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0
0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,3,0,2,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,3,0,2,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,3,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,3,1,3,1,1,1,1,3,0,0,3,0,0,0,10,1,0,4,0,2,0,3,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,2,0,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,2,0,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,2,1,1,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,3,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,2,1,0,1,0,0,1,0,8,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,1,0,1,0,0,2,0,0,2,0,0,0,3,1,2,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,2,5,1,0,1,2,0,0,5,0,0,0,5,1,3,0,0,0,1,1,19,0,0,1,0,0,0,3,0,0,9,0,2,0,0,0,0
0,0,0,0,6,1,5,1,1,0,0,0,0,0,0,18,0,6,0,0,0,1,18,13,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,2,1,0,0,1,0,0,1,0,0,0,2,0,1,1,1,2,0,3,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
4,1,3,6,8,1,2,4,1,0,2,10,0,1,0,15,0,5,4,3,2,1,26,14,0,1,13,0,0,0,13,0,0,10,0,1,1,0,0,0
0,1,2,1,2,2,1,4,4,1,1,10,0,1,0,6,1,4,1,2,1,9,3,28,0,0,4,0,0,0,1,1,0,8,0,0,0,0,0,0
1,2,0,4,1,1,1,1,1,0,0,1,0,1,0,9,1,6,2,2,3,0,1,10,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0
1,1,0,2,3,1,0,0,3,0,0,3,0,0,0,11,1,2,1,0,0,0,2,5,0,0,2,0,0,0,0,0,0,8,0,1,0,0,1,0
